Open,High,Low,Close
4208.3,4225.3,4173.2,4215.0
4042.9,4209.8,4031.0,4090.3
4200.0,4206.7,4100.0,4108.2
4332.8,4344.5,4240.2,4260.0
4324.2,4340.9,4284.6,4335.9
4472.3,4472.3,4319.1,4337.1
4447.4,4509.9,4447.4,4475.8
4471.2,4471.7,4427.2,4436.7
4488.0,4529.5,4474.2,4489.1
4523.5,4541.4,4449.7,4475.2
4494.0,4591.8,4487.9,4560.5
4453.6,4512.6,4363.5,4499.3
4439.7,4447.5,4439.7,4447.5
4572.8,4572.8,4500.4,4500.4
4519.5,4530.3,4519.1,4521.0
4507.2,4539.8,4503.8,4539.8
4502.6,4531.3,4465.1,4531.3
4551.7,4552.6,4506.2,4506.3
4563.0,4570.3,4538.7,4552.5
4615.2,4615.2,4524.3,4555.8
4678.1,4678.1,4650.3,4678.1
4722.7,4722.7,4679.5,4697.7
4762.2,4765.2,4677.6,4677.6
4729.5,4729.5,4718.7,4718.7
4714.4,4724.8,4713.6,4720.4
4704.8,4736.2,4699.8,4699.8
4663.6,4712.6,4663.6,4681.9
4547.6,4580.5,4547.6,4555.8
4581.2,4581.2,4512.7,4519.5
4636.7,4636.7,4581.7,4629.9
4561.9,4636.7,4561.9,4614.7
4598.6,4601.6,4515.7,4545.2
4680.9,4680.9,4591.5,4591.5
4707.6,4711.1,4675.4,4675.4
4695.0,4722.3,4657.5,4722.3
4711.5,4732.4,4705.1,4705.1
4754.2,4754.2,4732.5,4732.5
4698.4,4705.0,4676.4,4698.4
4793.9,4811.0,4770.0,4806.6
4771.6,4879.7,4767.2,4857.6
4810.9,4810.9,4785.4,4785.4
4843.6,4843.6,4798.0,4800.0
4770.1,4841.6,4770.1,4825.0
4704.0,4742.4,4704.0,4742.4
4745.9,4791.0,4744.9,4761.9
4711.0,4799.1,4711.0,4792.2
4760.0,4851.0,4738.8,4749.5
4624.9,4676.3,4608.0,4657.1
4656.1,4689.6,4605.0,4656.8
4764.9,4784.4,4558.9,4651.5
4668.4,4789.1,4668.0,4783.2
4510.0,4684.1,4508.6,4647.6
4482.8,4579.1,4413.4,4526.0
4492.0,4492.0,4492.0,4492.0
4441.5,4443.1,4375.5,4375.5
4549.0,4551.9,4541.8,4549.8
4338.7,4399.3,4325.2,4399.3
4353.0,4480.4,4100.8,4404.1
4686.9,4686.9,4570.4,4570.4
4830.3,4830.3,4554.0,4600.7
4949.6,4949.6,4821.7,4889.9
5017.6,5017.6,4994.2,5001.0
5001.6,5010.6,4994.0,4994.0
5089.6,5117.0,5009.5,5052.5
5137.2,5137.2,5115.8,5115.8
5190.8,5191.3,5167.4,5167.4
5138.2,5229.7,5137.6,5229.7
5155.0,5160.6,5077.7,5091.5
5121.0,5146.1,5076.1,5146.1
5169.5,5169.5,5054.7,5065.3
5130.7,5180.2,5117.2,5120.2
5298.7,5303.8,5023.0,5107.4
5346.6,5405.0,5266.3,5294.4
5186.7,5280.0,5176.7,5230.5
5177.2,5199.2,5143.9,5176.5
5166.0,5206.4,5166.0,5206.4
5158.8,5159.0,5112.7,5155.8
5120.3,5211.6,5120.3,5204.7
5039.5,5072.7,5039.5,5059.3
5014.7,5014.7,4975.9,4975.9
4872.2,4987.0,4869.5,4986.5
5020.0,5020.0,4847.8,4882.9
4953.0,5043.9,4946.2,5022.0
5060.4,5078.1,4892.0,4923.7
5049.9,5111.3,5041.3,5071.6
5013.5,5029.0,5002.7,5003.8
5017.4,5065.7,4979.1,5050.9
4762.0,4958.5,4655.0,4951.2
5008.7,5012.3,4786.0,4861.4
4923.3,5082.2,4897.9,4920.4
4680.0,4984.6,4674.3,4903.7
4807.7,4855.8,4400.0,4622.5
5376.4,5440.5,4700.0,4713.9
5415.7,5586.2,5097.5,5318.4
5301.6,5301.6,5301.6,5301.6
5079.9,5079.9,5079.9,5079.9
5081.5,5095.6,5052.2,5079.7
4949.6,4976.2,4936.0,4976.2
4791.9,4908.8,4791.9,4908.8
4863.5,4872.3,4771.5,4831.8
4662.2,4764.0,4661.8,4759.6
